,Movies,movie_id
0,Toy Story (1995),0114709
1,GoldenEye (1995),0113189
2,Four Rooms (1995),0113101
3,Get Shorty (1995),0113161
4,Copycat (1995),0112722
5,Shanghai Triad (Yao a yao yao dao waipo qiao) (1995),0115012
6,Twelve Monkeys (1995),0114746
7,Babe (1995),0112431
8,Dead Man Walking (1995),0112818
9,Richard III (1995),0114279
10,Seven (Se7en) (1995),25064618
11,"Usual Suspects, The (1995)",0114814
12,Mighty Aphrodite (1995),0113819
13,"Postino, Il (1994)",0110877
14,Mr. Holland's Opus (1995),0113862
15,French Twist (Gazon maudit) (1995),
16,From Dusk Till Dawn (1996),0116367
17,"White Balloon, The (1995)",0112445
18,Antonia's Line (1995),0112379
19,Angels and Insects (1995),0112365
20,Muppet Treasure Island (1996),0117110
21,Braveheart (1995),0112573
22,Taxi Driver (1976),0075314
23,Rumble in the Bronx (1995),0113326
24,"Birdcage, The (1996)",0115685
25,"Brothers McMullen, The (1995)",0112585
26,Bad Boys (1995),0112442
27,Apollo 13 (1995),0112384
28,Batman Forever (1995),0112462
29,Belle de jour (1967),0061395
30,Crimson Tide (1995),0112740
31,Crumb (1994),0109508
32,Desperado (1995),0112851
33,"Doom Generation, The (1995)",0112887
34,Free Willy 2: The Adventure Home (1995),0113114
35,Mad Love (1995),0113729
36,Nadja (1994),0110620
37,"Net, The (1995)",0113957
38,Strange Days (1995),0114558
39,"To Wong Foo, Thanks for Everything! Julie Newmar (1995)",0114682
40,Billy Madison (1995),0112508
41,Clerks (1994),0109445
42,Disclosure (1994),0109635
43,Dolores Claiborne (1994),0109642
44,Eat Drink Man Woman (1994),0111797
45,Exotica (1994),0109759
46,Ed Wood (1994),0109707
47,Hoop Dreams (1994),0110057
48,I.Q. (1994),0110099
49,Star Wars (1977),0076759
50,Legends of the Fall (1994),0110322
51,"Madness of King George, The (1994)",0110428
52,Natural Born Killers (1994),0110632
53,Outbreak (1995),0114069
54,"Professional, The (1994)",0110413
55,Pulp Fiction (1994),0110912
56,Priest (1994),0110889
57,Quiz Show (1994),0110932
58,Three Colors: Red (1994),0111495
59,Three Colors: Blue (1993),0108394
60,Three Colors: White (1994),0111507
61,Stargate (1994),0111282
62,"Santa Clause, The (1994)",0111070
63,"Shawshank Redemption, The (1994)",0111161
64,What's Eating Gilbert Grape (1993),0108550
65,While You Were Sleeping (1995),0114924
